StartDate,EndDate,Status,Progress,Duration (in seconds),Finished,RecordedDate,ResponseId,DistributionChannel,UserLanguage,Q1,Q3_1,Q3_2,Q4_1,Q4_2,Q4_3,Q7_1,Q5
2019-05-27 11:18:16,2019-05-27 11:19:07,IP Address,100,50,True,2019-05-27 11:19:07,R_2asn2MHKR3ZW3Ne,anonymous,EN-GB,402,59,39,11,12,25,11,"I sometimes think about quitting smoking, but I have no plans to quit."
2019-05-28 21:05:40,2019-05-28 21:06:36,IP Address,100,55,True,2019-05-28 21:06:36,R_1C9mSrZ1XNfRkOF,anonymous,EN-GB,476,82,50,68,62,76,71,I definitely plan to quit smoking in the next 6 months.
2019-05-29 02:04:53,2019-05-29 02:05:54,IP Address,100,60,True,2019-05-29 02:05:54,R_237zRRnlQQy4VnZ,anonymous,EN-GB,148,80,85,92,61,90,65,"I often think about quitting smoking, but I have no plans to quit."
2019-05-29 21:06:47,2019-05-29 21:07:26,IP Address,100,38,True,2019-05-29 21:07:26,R_pzuRwZTt8jcfsv7,anonymous,EN-GB,402,18,14,1,0,20,20,"I rarely think about quitting smoking, and I have no plans to quit."
2019-05-31 21:02:30,2019-05-31 21:03:13,IP Address,100,43,True,2019-05-31 21:03:14,R_WrjnyrrHr7ugupr,anonymous,EN-GB,476,92,74,84,59,58,82,"I often think about quitting smoking, but I have no plans to quit."
2019-06-01 21:11:18,2019-06-01 21:11:35,IP Address,100,17,True,2019-06-01 21:11:35,R_3q9BdxqwtHs4GgT,anonymous,EN-GB,402,14,12,12,14,11,12,"I rarely think about quitting smoking, and I have no plans to quit."
2019-06-04 07:38:50,2019-06-04 07:39:53,IP Address,100,63,True,2019-06-04 07:39:54,R_3EyTCDdRscMjYNG,anonymous,EN-GB,476,93,84,53,33,58,73,I definitely plan to quit smoking in the next 6 months.
2019-06-04 21:08:10,2019-06-04 21:08:49,IP Address,100,39,True,2019-06-04 21:08:50,R_qOekoRuBtOaoLu1,anonymous,EN-GB,402,30,31,5,3,19,19,"I rarely think about quitting smoking, and I have no plans to quit."
2019-06-07 21:34:25,2019-06-07 21:34:46,IP Address,100,20,True,2019-06-07 21:34:46,R_2UaXUx0WZaR5CFK,anonymous,EN-GB,402,8,9,12,6,29,14,"I rarely think about quitting smoking, and I have no plans to quit."
2019-06-09 22:46:43,2019-06-09 22:49:02,IP Address,100,139,True,2019-06-09 22:49:02,R_2S7u8PpSlYK8lTN,anonymous,EN-GB,,80,74,6,8,28,4,"I sometimes think about quitting smoking, but I have no plans to quit."
2019-06-10 22:43:47,2019-06-10 22:44:11,IP Address,100,23,True,2019-06-10 22:44:11,R_1HM3Qc63AwNedFv,anonymous,EN-GB,402,7,7,9,12,32,9,"I rarely think about quitting smoking, and I have no plans to quit."
2019-06-13 21:07:31,2019-06-13 21:07:50,IP Address,100,18,True,2019-06-13 21:07:50,R_3fwXrnbf8BlVweJ,anonymous,EN-GB,402,9,17,8,13,29,11,"I rarely think about quitting smoking, and I have no plans to quit."
2019-06-15 22:26:21,2019-06-15 22:27:34,IP Address,100,72,True,2019-06-15 22:27:34,R_3lM57JGWjws8zfj,anonymous,EN-GB,137,80,70,21,3,6,4,"I often think about quitting smoking, but I have no plans to quit."
2019-06-16 21:35:09,2019-06-16 21:35:28,IP Address,100,19,True,2019-06-16 21:35:29,R_BsJ8aplu29MhzB7,anonymous,EN-GB,402,10,9,9,3,21,11,"I rarely think about quitting smoking, and I have no plans to quit."
2019-06-17 08:15:35,2019-06-17 08:17:05,IP Address,100,90,True,2019-06-17 08:17:06,R_3KOsgrsutBiVrhV,anonymous,EN-GB,543,81,82,20,0,20,21,"I often think about quitting smoking, but I have no plans to quit."
2019-06-18 21:08:04,2019-06-18 21:08:43,IP Address,100,39,True,2019-06-18 21:08:43,R_3HhRTd5OcV5CfKF,anonymous,EN-GB,137,73,67,39,11,20,13,"I often think about quitting smoking, but I have no plans to quit."
2019-06-19 22:00:45,2019-06-19 22:01:09,IP Address,100,23,True,2019-06-19 22:01:09,R_3EmBiuo56bzfrSc,anonymous,EN-GB,402,16,7,6,6,19,16,"I rarely think about quitting smoking, and I have no plans to quit."
2019-06-21 22:44:23,2019-06-21 22:44:53,IP Address,100,29,True,2019-06-21 22:44:53,R_uqepX12zTtVpzuF,anonymous,EN-GB,137,73,86,14,10,10,10,"I sometimes think about quitting smoking, but I have no plans to quit."
2019-06-21 21:19:56,2019-06-21 21:20:00,Spam,20,4,False,2019-06-22 01:20:30,R_3NDoYTDUagvvnGC,anonymous,EN-GB,137,,,,,,,
2019-06-23 09:54:57,2019-06-23 09:55:54,IP Address,100,57,True,2019-06-23 09:55:54,R_1GCi5s74kqyTIMX,anonymous,EN-GB,543,100,100,20,12,22,24,"I often think about quitting smoking, but I have no plans to quit."
2019-06-24 22:47:06,2019-06-24 22:47:56,IP Address,100,50,True,2019-06-24 22:47:57,R_1Q4JahXZENQtzQ0,anonymous,EN-GB,137,63,62,4,5,8,13,"I sometimes think about quitting smoking, but I have no plans to quit."
2019-06-25 21:39:39,2019-06-25 21:40:41,IP Address,100,62,True,2019-06-25 21:40:42,R_2xxXepbZo7T2Qpe,anonymous,EN-GB,543,100,100,39,0,50,40,"I often think about quitting smoking, but I have no plans to quit."
2019-06-28 01:32:20,2019-06-28 01:32:56,IP Address,100,36,True,2019-06-28 01:32:56,R_1M0YQbKBGPAvcdz,anonymous,EN-GB,137,65,60,7,11,11,7,"I often think about quitting smoking, but I have no plans to quit."
2019-07-01 12:50:23,2019-07-01 12:50:58,IP Address,100,35,True,2019-07-01 12:50:59,R_pQcvifdI3psb8pH,anonymous,EN-GB,137,64,70,9,3,35,8,"I often think about quitting smoking, but I have no plans to quit."
2019-07-01 13:36:37,2019-07-01 14:44:08,IP Address,20,4051,False,2019-07-01 18:44:35,R_1LjIcMd4hZPvZRF,anonymous,EN-GB,0,,,,,,,
2019-07-01 22:25:08,2019-07-01 22:27:36,IP Address,100,148,True,2019-07-01 22:27:37,R_3KvbG5CFMhx6Hlb,anonymous,EN-GB,543,100,100,21,20,27,22,"I often think about quitting smoking, but I have no plans to quit."
2019-07-03 21:20:00,2019-07-03 21:20:47,IP Address,100,46,True,2019-07-03 21:20:47,R_31A69ZTSIYFFdlc,anonymous,EN-GB,137,74,74,4,2,2,2,"I often think about quitting smoking, but I have no plans to quit."
2019-07-04 21:01:39,2019-07-04 21:02:23,IP Address,100,44,True,2019-07-04 21:02:23,R_1E6Zw9K5mAAlytd,anonymous,EN-GB,448,81,71,16,15,70,54,"I often think about quitting smoking, but I have no plans to quit."
2019-07-04 21:02:52,2019-07-04 21:03:52,IP Address,100,59,True,2019-07-04 21:03:52,R_PXSrzaqdGpkQGGd,anonymous,EN-GB,543,100,100,40,14,40,40,"I often think about quitting smoking, but I have no plans to quit."
2019-07-05 09:35:59,2019-07-05 09:38:30,IP Address,100,151,True,2019-07-05 09:38:31,R_3fjDpOR6HzLoGum,anonymous,EN-GB,361,89,100,33,51,71,46,"I often think about quitting smoking, but I have no plans to quit."
2019-07-05 23:22:31,2019-07-05 23:23:33,IP Address,100,62,True,2019-07-05 23:23:33,R_3e3QJrjSRN5lFuQ,anonymous,EN-GB,767,76,17,61,29,51,23,"I sometimes think about quitting smoking, but I have no plans to quit."
2019-07-06 05:06:29,2019-07-06 05:07:06,IP Address,100,36,True,2019-07-06 05:07:06,R_1pmlMKRMgrdFUFf,anonymous,EN-GB,625,3,51,100,100,100,2,"I rarely think about quitting smoking, and I have no plans to quit."
2019-07-06 09:26:12,2019-07-06 09:26:56,IP Address,100,44,True,2019-07-06 09:26:56,R_23V2wBEtk5gmg2p,anonymous,EN-GB,467,97,100,3,1,11,45,"I sometimes think about quitting smoking, but I have no plans to quit."
2019-07-06 22:51:03,2019-07-06 22:51:33,IP Address,100,29,True,2019-07-06 22:51:33,R_1H2zp3pDbWDYHIF,anonymous,EN-GB,313,64,50,55,6,7,5,"I sometimes think about quitting smoking, but I have no plans to quit."
2019-07-07 21:01:33,2019-07-07 21:02:11,IP Address,100,37,True,2019-07-07 21:02:11,R_1kN9BBUYDAtGJub,anonymous,EN-GB,153,100,100,15,7,43,18,"I often think about quitting smoking, but I have no plans to quit."
2019-07-07 21:02:12,2019-07-07 21:03:17,IP Address,100,64,True,2019-07-07 21:03:17,R_bxzXaHTGn6F0mTD,anonymous,EN-GB,642,76,76,10,10,50,9,I have decided not to quit smoking for my lifetime. I have no interest in quitting.
2019-07-07 21:08:31,2019-07-07 21:09:42,IP Address,100,71,True,2019-07-07 21:09:42,R_UVKrC0H34qQs5I5,anonymous,EN-GB,260,100,100,100,100,76,91,"I still smoke, but I have begun to change, like cutting back on the number of cigarettes I smoke. I am ready to set a quit date."
2019-07-07 21:17:21,2019-07-07 21:18:01,IP Address,100,40,True,2019-07-07 21:18:01,R_TdUOKPKIFId0FOh,anonymous,EN-GB,543,100,100,25,10,36,30,"I often think about quitting smoking, but I have no plans to quit."
2019-07-07 21:28:46,2019-07-07 21:29:34,IP Address,100,48,True,2019-07-07 21:29:34,R_3KZslsMGlasm2hX,anonymous,EN-GB,355,66,61,14,5,13,20,"I sometimes think about quitting smoking, but I have no plans to quit."
2019-07-07 21:55:31,2019-07-07 21:56:41,IP Address,100,69,True,2019-07-07 21:56:41,R_RKr9PNKd9KtVahj,anonymous,EN-GB,215,50,50,40,15,65,50,"I sometimes think about quitting smoking, but I have no plans to quit."
2019-07-07 22:43:14,2019-07-07 22:44:07,IP Address,100,53,True,2019-07-07 22:44:08,R_XmJfIVCpso2DGSZ,anonymous,EN-GB,471,99,98,15,17,45,23,"I often think about quitting smoking, but I have no plans to quit."
2019-07-07 23:16:49,2019-07-07 23:18:17,IP Address,100,87,True,2019-07-07 23:18:17,R_1Ei0YAyGVXWdDBG,anonymous,EN-GB,480,80,70,10,30,20,20,"I never think about quitting smoking, and I have no plans to quit."
2019-07-07 23:39:48,2019-07-07 23:40:17,IP Address,100,29,True,2019-07-07 23:40:18,R_3NV6wkCzVFF96tE,anonymous,EN-GB,361,74,74,17,15,17,18,"I often think about quitting smoking, but I have no plans to quit."
2019-07-08 13:05:11,2019-07-08 13:05:47,IP Address,100,35,True,2019-07-08 13:05:47,R_2dN12NhX0W40npj,anonymous,EN-GB,382,82,78,0,0,30,30,"I sometimes think about quitting smoking, but I have no plans to quit."
2019-07-08 13:05:58,2019-07-08 13:06:02,IP Address,20,4,False,2019-07-08 17:06:06,R_1pQHjuYcqBFD6tP,anonymous,EN-GB,382,,,,,,,
2019-07-08 21:02:32,2019-07-08 21:03:13,IP Address,100,40,True,2019-07-08 21:03:13,R_RqbieQA7vf1xeQF,anonymous,EN-GB,467,100,100,56,8,23,43,"I sometimes think about quitting smoking, but I have no plans to quit."
2019-07-08 23:06:52,2019-07-08 23:07:49,IP Address,100,57,True,2019-07-08 23:07:49,R_20SZZbPOxypa0mv,anonymous,EN-GB,767,39,83,82,42,61,49,I definitely plan to quit smoking in the next 6 months.
2019-07-08 21:02:25,2019-07-08 21:02:27,IP Address,20,1,False,2019-07-09 01:02:50,R_1Qi57OKFG0NmfX6,anonymous,EN-GB,,,,,,,,
2019-07-08 22:17:23,2019-07-08 22:17:28,IP Address,20,4,False,2019-07-09 02:18:03,R_3r2izP6ZgAJa61m,anonymous,EN-GB,625,,,,,,,
2019-07-09 23:48:55,2019-07-09 23:49:25,IP Address,100,30,True,2019-07-09 23:49:25,R_31AVzXt9FelPnKo,anonymous,EN-GB,313,59,47,44,10,16,23,I definitely plan to quit smoking in the next 6 months.
2019-07-10 21:13:32,2019-07-10 21:14:18,IP Address,100,46,True,2019-07-10 21:14:18,R_23aC7Sk9NMNOJSm,anonymous,EN-GB,480,80,80,15,18,19,19,"I never think about quitting smoking, and I have no plans to quit."
2019-07-10 21:27:58,2019-07-10 21:28:40,IP Address,100,42,True,2019-07-10 21:28:40,R_8oViyUBRDoHhgjv,anonymous,EN-GB,215,100,100,20,0,50,20,"I sometimes think about quitting smoking, but I have no plans to quit."
2019-07-10 21:40:38,2019-07-10 21:41:49,IP Address,100,71,True,2019-07-10 21:41:50,R_32UWTiZ1aSWevdJ,anonymous,EN-GB,576,100,100,30,10,45,25,"I sometimes think about quitting smoking, but I have no plans to quit."
2019-07-10 21:43:20,2019-07-10 21:44:14,IP Address,100,54,True,2019-07-10 21:44:14,R_svaLV57gkQAh7W1,anonymous,EN-GB,355,70,69,0,0,36,32,"I sometimes think about quitting smoking, but I have no plans to quit."
2019-07-10 21:47:44,2019-07-10 21:48:18,IP Address,100,34,True,2019-07-10 21:48:18,R_2PtkASlLdINNgzg,anonymous,EN-GB,642,53,49,26,24,54,42,I have decided not to quit smoking for my lifetime. I have no interest in quitting.
2019-07-10 23:12:58,2019-07-10 23:13:42,IP Address,100,43,True,2019-07-10 23:13:42,R_0UpeCPCRACYp4vn,anonymous,EN-GB,36q,76,77,5,8,8,87,"I often think about quitting smoking, but I have no plans to quit."
2019-07-11 11:05:08,2019-07-11 11:05:38,IP Address,100,29,True,2019-07-11 11:05:39,R_1Do5XhkApMQCBag,anonymous,EN-GB,382,83,92,63,14,36,33,"I often think about quitting smoking, but I have no plans to quit."
2019-07-11 21:16:50,2019-07-11 21:17:57,IP Address,100,67,True,2019-07-11 21:17:57,R_1LCBqIR8RqZtS77,anonymous,EN-GB,467,100,79,53,48,62,51,I definitely plan to quit smoking in the next 6 months.
2019-07-11 23:08:26,2019-07-11 23:09:15,IP Address,100,48,True,2019-07-11 23:09:15,R_3HFeO5NDCSPdLfQ,anonymous,EN-GB,767,86,73,76,50,58,51,I definitely plan to quit smoking in the next 6 months.
2019-07-12 21:17:44,2019-07-12 21:18:33,IP Address,100,49,True,2019-07-12 21:18:34,R_1CCPGct1OQ25ufo,anonymous,EN-GB,193,39,25,15,19,23,10,"I sometimes think about quitting smoking, but I have no plans to quit."
2019-07-13 00:10:41,2019-07-13 00:11:07,IP Address,100,26,True,2019-07-13 00:11:08,R_O86FI9KT4N0naDv,anonymous,EN-GB,313,46,48,44,42,30,30,I definitely plan to quit smoking in the next 30 days.
2019-07-13 21:02:49,2019-07-13 21:03:37,IP Address,100,48,True,2019-07-13 21:03:38,R_1ewPUjuuJLvHF52,anonymous,EN-GB,182,86,43,11,48,74,59,"I rarely think about quitting smoking, and I have no plans to quit."
2019-07-13 21:05:29,2019-07-13 21:05:52,IP Address,100,22,True,2019-07-13 21:05:52,R_1N3RZahJzgUXepy,anonymous,EN-GB,448,30,9,14,8,88,44,"I often think about quitting smoking, but I have no plans to quit."
2019-07-13 21:14:10,2019-07-13 21:15:00,IP Address,100,50,True,2019-07-13 21:15:00,R_XHSK0dMv5sG6Pkd,anonymous,EN-GB,769,86,78,15,11,66,17,"I often think about quitting smoking, but I have no plans to quit."
2019-07-13 21:17:21,2019-07-13 21:17:49,IP Address,100,27,True,2019-07-13 21:17:49,R_yOUB3xRSyVcshsl,anonymous,EN-GB,361,80,81,6,0,8,8,"I often think about quitting smoking, but I have no plans to quit."
2019-07-13 21:20:42,2019-07-13 21:21:16,IP Address,100,33,True,2019-07-13 21:21:16,R_9oCovEuKZNDCdQR,anonymous,EN-GB,642,51,54,26,23,47,50,I have decided not to quit smoking for my lifetime. I have no interest in quitting.
2019-07-13 21:29:35,2019-07-13 21:30:22,IP Address,100,47,True,2019-07-13 21:30:22,R_3KOyA8rh2GksqjS,anonymous,EN-GB,355,69,66,22,0,38,29,"I often think about quitting smoking, but I have no plans to quit."
2019-07-13 21:36:23,2019-07-13 21:37:08,IP Address,100,45,True,2019-07-13 21:37:08,R_aY8ycjyIo13Rs6l,anonymous,EN-GB,194,100,100,100,100,100,100,"I often think about quitting smoking, but I have no plans to quit."
2019-07-13 22:28:43,2019-07-13 22:29:23,IP Address,100,40,True,2019-07-13 22:29:23,R_1oBAp6TrQNnUgDq,anonymous,EN-GB,149,2,3,1,3,2,2,I have decided not to quit smoking for my lifetime. I have no interest in quitting.
2019-07-13 22:30:52,2019-07-13 22:31:50,IP Address,100,57,True,2019-07-13 22:31:50,R_sLnZrKBHtD5S8jD,anonymous,EN-GB,595,90,60,50,10,20,40,"I often think about quitting smoking, but I have no plans to quit."
2019-07-13 22:33:34,2019-07-13 22:35:30,IP Address,100,115,True,2019-07-13 22:35:31,R_25zH8OzwsEU2p6p,anonymous,EN-GB,515,75,72,33,10,34,44,"I sometimes think about quitting smoking, but I have no plans to quit."
2019-07-13 23:08:42,2019-07-13 23:09:28,IP Address,100,46,True,2019-07-13 23:09:29,R_1eW7lrZNhia5tEr,anonymous,EN-GB,471,6,10,3,4,3,4,"I sometimes think about quitting smoking, but I have no plans to quit."
2019-07-13 23:29:32,2019-07-13 23:30:24,IP Address,100,51,True,2019-07-13 23:30:24,R_33kEkpVGBUSkGxl,anonymous,EN-GB,204,70,46,100,100,100,0,"I never think about quitting smoking, and I have no plans to quit."
2019-07-14 00:20:20,2019-07-14 00:21:38,IP Address,100,77,True,2019-07-14 00:21:39,R_2uDGRaVpsY6kOa1,anonymous,EN-GB,419,67,75,60,80,36,71,"I sometimes think about quitting smoking, but I have no plans to quit."
2019-07-14 00:25:09,2019-07-14 00:27:23,IP Address,100,133,True,2019-07-14 00:27:23,R_2BaOa4sGSpn2u7b,anonymous,EN-GB,343,100,30,10,9,20,10,"I sometimes think about quitting smoking, but I have no plans to quit."
