,comment1,comment2,comment3,comment4,comment5,comment6,comment7,comment8,comment9,comment10,comment11,comment12,comment13,comment14,comment15,comment16,comment17,comment18,comment19,comment20,comment21,comment22,comment23,comment24,comment25,comment26,comment27,comment28,comment29,comment30,comment31,comment32,comment33,comment34,comment35,comment36,comment37,comment38,comment39,comment40,comment41,comment42,comment43,comment44,comment45,comment46,comment47,comment48,comment49,comment50,comment51,comment52,comment53,comment54,comment55,comment56,comment57
10,I DONT THINK THATS TRUE ,,,,DOESNT REALLY WANT TO  MAKE ME WANNA GIE UP JUST COS THE FILTERS TAKE 12 YEARS DEGRADE,,,NOT SURE,CAN GET FINED NOW FOR DROPPING FAG BUTTS SO NOT AS MANY PEOPLE WILL DO IT ,,,,,,,I ALWAYS DO ANYWAY ,THINGS LIKE THIS COULD MAKE ME GIVE UP A LOT MORE THAN HOW LONG A FILTER TAKES TO DEGRADE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11,"I would like to be more eco friendly , i never really thought about pollution from the actual cigarette ends ",,,,,I wasn't aware you could do this,"I would definitely be more careful, i dont really like throwing them on the street but i thought they just decomposed  ",,,,,it doesn't stop me because i would just be more careful with how i expose of it ,,I wouldnt think that it would contaminate much water so it would make me think twice about how i dispose of them ,,"it does not sound negative, ti does not change my motivation really ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12,How are they plastic?,,,,,I had no idea about this,,,,Yes well there are a lot of smokers,,,,,Makes sense,That is a good idea,I had no idea this was the case,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13,,,Shows the real harm that smoking on beaches does ,,,,,There is no definite in the message so definitely doesnâ€™t give any motivation to quit ,,,The amount of chemicals seems ridiculously high ,,,,Itâ€™s a habit so wonâ€™t be easily stopped. ,Itâ€™s just a statement. No push in it. ,Itâ€™s good that you can get some health back after quitting ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14,,"dont want to harm marine life, but dont think it makes a difference",,,,,,,,,health is the least of my worries - i am past the 'good health' scenario and must accept what my life long smoking has done to me,,i dont personally flick my butts,"an exaggerated 'fact', which i dont believe",everyone needs to have attention on how they dispose of butts,i dispose of my butts responsibly,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15,,Environmental issues are a huge concern.,Environmental issues are a serious concern.,,Environmental issues are a serious concern.,A free ashtray wouldn't make me want to quit.,,,This is a persuasive argument because it shows how smoking affects others.,,,,,,,Has no bearing on wanting to quit.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16,,,,This is quite emotional to read and it shows how your actions are affecting animals which makes me want to quit,This is a hard hitting fact which makes me feel bad about smoking and dropping the butt but it doesn't make me really active in wanting to quit,This just encourages me to smoke more because it makes life easier for me.,This doesn't make me want to quit it just makes me remember not to drop a butt on the floor.,,,"This makes me feel bad about the environment but it doesn't necessarily make me think, ""I will quit smoking now.""",,,,,,This doesn't make me want to quit at all.. This has nothing to do with my own health.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17,,That is nasty but I don't smoke cigarettes with filters,,,,,,,I get rid of my tobacco waste responsibly,,,,,"Not as bad plastic which takes much longer, also I smoke rollups without a filter",It may be true but doesn't put me off smoking. I bin my butts. ,good idea but not motivational to stop,It is a good reason to stop but while my health is ok I'll carry on.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18,,"Again, makes me think about the damaging chemicals in cigarettes and their effect on me and other animals. ",,,,,,,"I hate to think of myself as a burden on society, but itâ€™s a good point - all those cigarette butts have to get cleaned up. ","I hadnâ€™t realised that cigarette butts were such a massive pollutant, but it stands to reason. They should make them from degradable material. ",,Makes me think about the harmful effects on myself as well as on wildlife. ,Horrible to think of cigarette butts adding to all the plastic waste on our beaches. ,,,I generally use a bin. ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19,,Fine,,,Maybe,,That's nice,"I agree that the first part is likely, but would like to know the evidence for the second bit. Also., and this is a bit picky, it should be ""contaminate"" rather than ""contaminates""...",,,,,References?,,,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20,,,,,,,I WILL ENSURE THAT I AM CRAEFUL WHEN SMOKING TO AVOID RECIEVING A FINE ,,,,"AGREED HOWEVER, IT IS HARD TO QUIT SMOKING AFTERSO MANY YEARS",,,,,I AGREE WITH THIS STATEMENT ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
21,I feel guilty about the effect on the environment.,,,,,,Iâ€™d be more interested in ensuring I donâ€™t litter.,"I want to do more to help  the environment, because itâ€™s having an effect on everyone.",,,,,,This is a horrifying thought to think of. ,,Be responsible about littering.,"I didnâ€™t know that lungs cleared themselves, and it makes me think that I should try harder to quit.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
22,not suprising ,,sad that the ocean is full of plastics,,,,good incentive to get people to either not smoke or smoke in a designated area,i remember there have been studies proving plastics found in fish and drinking water.,,,,,,,not suprising. ,sensible message. ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
23,,,,,It's doesn't sound good,,,,It's probably about same as normal littering,,Not sure if tobacco roll ups are better then cigarettes,,People should dispose of them better. But there are less and less bins in general nowadays,,,I agree,It is hard to give up and stay given up.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
24,"It's awful, but the fact that I ALWAYS throw mine in a bin means it doesn't motivate me personally.",,Same answer as previous,"Again, proper disposal is more of a message",,"No I didn't, so, thanks!",,,,,it's more a deterrent to dispose of butts correctly!,,,,,Couldn't agree more.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
25,,,"good concept, but 19-38% is just such a vague number and is not credible",,,,,,no more than chewing gum!,,,"again a good concept, but leachate sounds a made up word, just specify what actually leaches out",just not credible,"just doesn't sound credible, specify what the contaminants are",,"a clear message, but who uses a pocket ashtray?",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
26,,I do care but I donâ€™t use cigarette butts I smoke tobacco ,I think thatâ€™s quite shocking ,,,,,I donâ€™t smoke filter cigarettes ,,,,,,I think thatâ€™s terrible but doesnâ€™t motivate me personally ,,I agree with this message but it doesnâ€™t help to quit ,I think thatâ€™s a useful message and does motivate me ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
27,This surprised me,,I donot smoke on the beach,,This is very surprising,,,,I am not surprised,,,This is tragic,,,,It is the right thing to do,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
28,,I care about the environment ,,I feel bad about this as i care about animals ,,,,,,depends which country but i imagine from the sheer numbers that this would be true,,,I do feel slightly guilty when flicking cigarette butts in the floor,,,yes i dont like seeing cigarette butts on the floor,I know this is the case and mainly smoke e cigarettes these days but still addicted to nicotine. ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
29,,,,,I find that motivating because it hits home the point that the pollution still exists regardless off trying to dispose of them correctly,,I completely support the fine but it makes me cautious about disposal and doesn't speak to my desire to quit,,,,,"Highly motivating, it makes me want to wipe them from existence and do my part to make it happen",I am aware of this problem and it has certainly motivated me to dispose of my butts carefully but unfortunately hasn't made me quit,,,Again it motivates me to dispose of butts correctly but not quit,I do find it motivational to know that there is a perceptible improvement so quickly but it hasn't stopped me thus far,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
30,,"Cigarettebutts are the most common form of litter,as an  estimated 4.5 trilioncigarette butts are thrown away every year worldwide.Many chemical prodcts are used during the course of growing tobacco and manufacturing cigarettes prepared for consumption.","yes,correct.You can see them not only on the beaches.They are everywhereThe chemicals found in one cigarette butt can leach out and contaminate appr. 7.5 littres of water per hour.",,,i didnt know it but now i gonna do it.,,,,"Yes as i said before they are everywhere-on the street,beaches,watere etc.",,,,,The cigarette butts are the biggest Ocean contaminant.They are polluting the environment,yes i do that in the bin f i am out.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
31,,If its harming marine life too then yes,,I think smokers need to be more mindful of where they doing.,,,,"It wasnt a massive 100, kind of in between",,,Thats alot of chemicals and for that reasons its 100,,"Thats just awful, why do people do it.",,,nothing really to add,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
32,,,,Again I have never thought what happens to the butts or where they go once I dispose of them. This is heart breaking thinking about it. ,,,,,,,We need to try and reduce the amount of toxic fumes in the air. ,I didn't know this. Didn't really think about what happens to the butts ,"We need to respect the planet, not destroy it",We need to reduce the amount of toxic waste we are using,,I always try to dispose of them in a bin,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
33,,,,,I am sure thus is also true ,,,Probably again true,,Probably nit as true as it once was,I am sure thus is true,,,,I never throw my cigarette butts,I always make sure I do this,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
34,,,,,,,,,that doesn't surprise me though nowadays there are so many bins around with ashtrays on the top I don't know why people don't use them,,interesting,,I didn't know that nor have I ever thought of where they end up,disgusting,,there is no reason why people wouldn't its just pure laziness,it is an eyeopener ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
35,,,It isn't nice to think of beaches and the clean ait being polluted by cigarette butts.,,,,,,I doubt that tobacco waste is the most significant waste.,"I doubt this is true, there will be some cigarette butts but I doubt that it is the largest type of litter.",,I am no sure if this is scientifically proven but I am an animal lover so this motivates me.,,,"Nowadays, cigarette butts are less common, I see more chewing gum and drink bottles littering. I do not drop cigarette butts so this message does not really motivate me","I agree, dropping cigarette  buts is revolting.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
36,This message is important as a smoker you don't realise the cigarettes contain plastic,,That's a lot of litter it has made me want to join a beach clean,,,"I wasn't aware of this scheme, I always place my butts in a public bin I don't put them on the floor",,That's not something I even contemplated ,,,,,,,,I always put butts in a bin never on the floor,I was aware of this,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
37,,I did not know this fact and motivates me to want to stop smoking.,,,,"Yes I have picked up one of these ashtrays in my local council before,it helps keep my town clean.",,"I also did not know this fact, it's not fair to people who do not smoke.",,Smokers should be responsible for their cigarette butts and bin when extinguished or a personal ashtray.,,,It upsets my that people don't care where their rubbish ends up.we need to look after our planet and be more responsible with our litter.,,This is a very sad fact that should be more published.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
38,,this could be true but my smoking addiction would override this,no as i am heavily addicted to smoking,"due to my heavy addiction, this would not be enough to motivate me to quit",,,,this would still not be enough stopping power,i like smoking and this would not be enough to motivate me to stop,,,,,,due to the amount of smokers and cigarettes consumed i believe this statement to be true,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
39,Don't think about these issues when smoking.,,,,"The protection of the environment is very important, so this is discomforting to hear.",,,,,I guess because they are so small its harder to see the impact they have.,,,Hearing about environmental issues is somehow more disheartening to me than health effects.,This is very worrying.,"Need to stop contributing to these problems, seem so avoidable.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
40,Shocked,,,,,pocket ash trays. wow,This happens to where i live too,I did not know that about cigarette filters. Shocked,,I did not know this was happening,,,,,makes me think that is a lot ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
41,,,Depressing news,It is a sad thought,,Helps reduce guilt of volume of litter,,Not only damaging my health plus children,Councils are already in crisis,,,,,,The scale is overwhelming,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
42,,Donâ€™t believe that is a fact ,Thought it may be more ,Did not realise this fact,,Did not know this,,,,Thatâ€™s scary,,,,,Didnâ€™t think it would be that much ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
43,,,,,,"Handy! No, I didn't. It's basically a tin, right? Does it have smell-absorbing stuff in it?",,,,I don't really see how they'd measure that?,"Sorry, I've always hated the 'it has hundreds of chemicals!' line of fear, even before I smoked.  It's much stronger to pick a couple of the really revolting ones. ",,,"I'd like you to be more specific about the chemical compounds - it's very easy for the addict brain to go 'pffft, everything is made of chemicals'. ","Yeah, that's gross.",,"Oh man, that is a really long time. ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
44,I don't think it will have a great impact on an addictive behaviour,More needs to be made of the effect on animals,,,,,,,,,More needs to be made of the environmental impact,,,I don't think enough is made of the environmental impact of smoking,It would be great to have clean streets free if cigarette butts,,"Making the health benefits clear helps, especially major things like cancer",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
45,plastic bags surely,,,I think back again and say that most smokers would not deem throwing a butt away could have a detrimental effect on our wildlife ,"I think there are a few other things that take quite a while to degrade as well, doesnt make ANY of it right",,,,,,I  dont think smokers really think of cigarette butts as being environmentally un-friendly. ,,,,"Yes, i agree it is litter and a lot of people just throw them away, regardless of litter fine warnings.",,"I and other smokers know the damage that smoking does, its probably the worlds most addictive drug, it really is a mental condition, because we all know but do very little about it",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
46,,,,,,,This message would make me dispose of the butt in a bin rather than make we want to quit smoking.,,,This message is concerning regarding littering but would not make me stop smoking.,,This message is more appealing than the previous ones but is still more relevant to disposing of the butt rather than quitting smoking.,,This is the most inspiring littering message as it makes you realise how contaminating a single cigarette filter is.,"This message is annoying from a littering point of view, but it is more likely to make me dispose of the butt properly than stop smoking.",,This message inspires me to stop smoking as it relates to my physical health.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
47,,,,,,,,This is less substantive - I need additional information.,,I don't find this particularly convincing.,This isn't substantive enough - it doesn't detail the impact of these chemicals entering the environment.,,This is slightly more powerful again - I hate the thought of polluting our environment and potentially harming wildlife.,,As previous.,,I think this is pretty powerful.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
48,plastic ? really im pretty sure its from plastic bottles ,,,not something i would do ,,,good idea should be uk wide,,,,"again is that true, sounds a little like scare tactics to me , we all know cigarettes are bad for you but 4500? really ? ",,not sure how believable that is to be honest ,,"whilst an important cause its not enough , i also dont smoke filtered cigarettes so it doesnt apply to me personally ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
49,"I think this is incorrect , plastic shopping bags and similar materials are more of a problem",,nothing to add for this question,,,,,There are far more serious threats to water supplies such as fracking,,I always attempt to dispose of my cigarette butts in a more thoughtful manner,,,,I dont smoke filter ciagarettes ,I don't know the figures but hard to imagine other forms of litter do not pass this figure,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
50,straws are more common,,,,,,,NONE,,,none,NONE ,,,people litter all the time not just cigarette butts,,it does improve your health,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
51,,,,as previous comment,"It makes me think twice about being a casual litterbug and chucking it out of a car window, but I'm not sure that compared to the impact I could make by cutting down on all sorts of other rubbish / recycling, it's not particularly motivating about stopping smoking full stop",,I think I can wait to get to a bin.,ditto,,'- as before,,,,,"This sounds appalling but I'm not sure I believe it? - maybe in numbers because a cigarette butt is an obvious countable thing, but what about 'paper things' or 'plastic things' which are probably all the same material, just less countable.   A single person giving up would make so little difference that I'm not sure it's a good statistic to motivate people to stop",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
52,,,i wouldnt believe it,,not sure on this one,,i wouldnt litter my cig butt,,,,that would make me think about what i put in my body,i would probably dispute how true this is,,,if you are enviro conscious it wouldnt make you quit,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
53,,This would only appeal to a limited amount of smokers as it relies on them having care for the enviroment,,,,,,,I do not think many people care about what the cost is to city councils,I could not imagine that many smokers would be motivated to stop with this message,,,,I spoke hand rolled without a filter!,I do not feel this would motivate many people,,I feel this message is very motivative as it shows that you can start to feel the positive of quiting,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
54,,,See  previous answer.,,,This is a good idea as it would hopefully prevent people from throwing cigarette ends on the floor. This idea is not enough for me to consider giving up smoking though.,It would just make me think twice about discarding a cigarette butt on the ground and that's all.,,"I feel slightly guilty about this, but again it doesn't make me want to quit,",I never knew this and it makes me feel slightly guilty but again it wouldn't prevent me from smoking.,,,,,Although that figure is huge it still would encourage me to stop smoking. ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
55,,,"Disposing of cigarette butts on beaches is disgusting, especially when children are playing their",I have to comment that I am guilty of doing this and did not no the fact that you have presented me with.  I will not do this in future.,I enjoy smoking and do not want to cease,,,,,,,Its all about disposing of the cigarettes in the bin and people need to be educated about this,,I appreciate it may harm the environment but I enjoy smoking,People should have the common curtosy to dispose of them in the bin,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
56,,,I dispose of my cigarettes responsibly. If I was going to quit it would be for my health and I wouldnt really consider the environment.,Very sad but again I dispose of my cigarettes responsibly. I dont smoke on the streets or but butts down the drain.,,I wouldnt have a need for one. ,,,,,I am aware of the chemicals in cigarettes. ,,I would be very surprised if this was true but this wouldnt make me want to stop smoking. I dispose of my butts responsibly.,,Environmental issues have no impact on me be able to or wanting to quit smoking.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
57,"doesn't seem to be true art all, surely they are made of paper not plastic",,"i dispose of my ends in a bin so they should end up in landfilll, the message doesn't seem personally relevant to me","doesn't make me want to stop in anyway as i always dispose of my cigarettes in a bin , so it doesn't feel relevant to me personally",,,,,,,,still doesn't feel relevant to me personally as i dispose of them in a bin,,,i don't think this is true. i think there is more plastic waste than cigarette butts,,does make me think about giving up as it explains the benefits,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
58,,,,SURE THEY COULD BE FILTER OUT BEFORE THEY REACH THE SEA.,,A BIT RUBBISH,,,,THIS IS DISTURBING BUT DOESN'T MAKE ME WANT TO QUIT.,"AGAIN, VERY DISTURBING BUT THERE ARE CHEMICALS RELEASED BY OTHER PRODUCTS THAT ALSO CAUSE DAMAGE. ",,LINKING TO THE ENVIROMENT ISN'T THE ANSWER.,,AGAIN LINKED TO THE ENVIROMENT.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
59,,,possibly,,"There are many different types of filter,some of which are biodegradable",,,Utter rubbish,,,,,utter drivel,,possibly,,I believe these statistics to be false,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
60,,"Again, nothing I haven't heard before. ",,,,,I'm not in Bristol nor do I litter. ,,,"Again - I don't litter, not my problem. I dispose of mine correctly. ",I've read every horrific fact and truth about smoking there is - nothing will change my mind. ,I don't litter. ,,,I don't litter the butts so not my problem.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
61,,,,,would not motivate me at all,,,"this would not motivate me at all , these messages are useless speaking from a smokers point of view we feel bad enough about being addicted surely to stop a smoker you shouldnt make them feel bad as your likely to be motivated by counciling etc",,,,again my addiction would out weigh this and its very hard to admit this and im not very proud about itbut no it would not sway me,again this would not sway me in anyway sadly addiction would win,as a smoker this would not motivate me at all even though i am very enviromentally savvy its simply down too addiction my adddiction would this over and over.,,,as an addict this slightly motivates me but again addiction would win,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
62,Cigarette butts arenâ€™t made from plastic though ,,,,,,So thereâ€™s people committing serious offences but they are out to get Susan who chucks a small bit of paper on the floor,"Doubt it, it will probably help clean the water as the clue is in the name â€œfilterâ€",,,,Never heard of it,,It will probably help filter the water,,,I can believe this,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
63,I donâ€™t think this is a good deterrent ,I donâ€™t think this is an effective message,,"Whilst this is sad, I feel that if you are responsible and dispose of them correctly, this wonâ€™t happen.",,,,"Whilst it is negative, I donâ€™t think itâ€™s an effective way to stop people smoking.",,,,,,I donâ€™t think this is a good message to try and deter people.,,,A good reason to stop smoking.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
64,,,,,I donâ€™t see how me stopping would help solve that ,,I would make sure I am disposing if my cigarettes in the bin and not on the floor ,Still not enough to stop me but would worry me that it could pose a threat to human health ,Maybe stop people disposing them on the floor but not to quit ,,,,Again not something I worry about personally ,The environment is not something that would stop me smoking ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
65,plastic water bottles are also bad,,,,,,just scares me to drop the butt ,,this is bas cause the moenby cojld be spent on educaion or something mpre importsnt ,,,this actually makes me really sad ,"not sure what else to say here, sorry  ",it is a scary fact  ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
66,"I always use an ashtray, though i agree this is an issue",,,,This can be an issue,,,"I suppose it could, but water is filtered before reaching households",,Butts are an unsightly thing to see i admit,,I don't want wildlife to dieD:,,"Unless i see this in action, i wouldn't think much of it",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
67,,,,It makes me want to manage my/other smokers waste better.,"I'm sure some will be swayed, perhaps i am stubborn",I had no idea they existed and would absolutely have used one had I known.,,,,Again it makes me want us to manage waste better. smokers will smoke regardless,It isn't going to stop the majority of smokers from smoking.,,,It just makes me want to make sure filters do not wind up in sources of water,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
68,,,,,I smoke rollups without a filter ,I have never ever heard of a personal ashtray before ,"It doesn't motivate me to want to quit, but it would make me be more cautious on what I do with the cigarette when I've finished with it. ",Literally everything on this planet is hazardous to our health these days apparently. ,You could look at it on the flip side and say it's creating a job? I think I've seen more normal litter and gum on the floor that cigarettes ,,,,,Look at the food/waste industry dumping all sorts into water...,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
69,"Again, this only makes me feel like I should be more considerate of how I dispose of butts, either that or switch to roaches.","The use of the word ""toxins"" instantly switches me off even listening to the message. I only associate this word with pseudoscience.",,,,,,,,,,Same as before - too vague. It comes across as patronising.,This just makes me want to be more responsible with butt disposal rather than think of quitting.,"It is far too wordy. The use of the words ""chemical substances"" sounds too vague and anti- science. ",,,I like the positive spin on this. It is encouraging rather than guilt tripping.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
70,,,"Although I do want to quit, I don't personally litter so this doesn't motivate me","Again, I don't dispose of filters like this so I don't feel like I'm responsible for this. It's a good thing to know though, thanks!",,,I always use bins because of this. ,,"Again, I don't personally litter so this alone doesn't motivate me",,,I had no idea. This is definitely motivating in general ,,That is insane. Cigarette litter is a bigger problem than I realised.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
